"CO_ppm_parts","CO_ppm_density","CO_temp","CO_humidity","TVOC_ppm_parts","TVOC_ppm_density","TVOC_temp","TVOC_humidity","O3_ppm_parts","O3_ppm_density","O3_temp","O3_humidity","NO2_ppm_parts","NO2_ppm_density","NO2_temp","NO2_humidity","SO2_ppb_parts","SO2_ppb_density","SO2_temp","SO2_humidity","analog_CO","analog_CO_Ref","analog_NO2","analog_NO2_Ref","analog_SO2","analog_SO2_Ref","analog_O3","analog_O3_Ref","sgp_VOC","stc31_CO2","telaire_CO2","sht41_temp","sht41_humidity","chipcap_tempC","chipcap_tempF","chipcap_humidity","PM1.0_ug/m3","PM2.5_(ug/m3)","PM4.0_(ug/m3)","PM10.0_(ug/m3)","PM0.5_(/cm3)","PM1_(/cm3)","PM2.5_(/cm3)","PM4.0_(/cm3)","PM10.0_(/cm3)","Typical_(nm)","TimeStampMillis","SetupLoopExeTime=132870","SetupLoopOffset=27143","MillisMsb=4060217741","MillisLsb=1752713415","FileAttr1=4291371562","FileAttr2=257"
55,63,28.94,81.9,0,0,28.93,81.15,3,5,28.97,77.89,0,0,28.85,80.3,0,0,28.89,81.93,485,496,437,499,447,502,476,505,65528,4.8,479,29.11,74.79,27.85,82.13,73.93,15,14,15,15,90,15,106,106,106,563,136043,,,,,,
55,63,28.94,81.9,0,0,28.93,81.15,3,5,28.97,77.89,0,0,28.88,80.4,0,0,28.95,82,491,493,456,495,496,496,461,495,57925,4.7,481,29.13,74.9,29.49,85.09,67.85,15,15,15,15,94,15,110,110,110,558,139362,,,,,,
55,63,28.95,81.9,0,0,28.97,81.15,3,5,28.99,77.8,0,0,28.89,80.3,0,0,28.97,81.9,510,495,476,495,481,496,472,497,57928,4.67,482,29.2,75.74,29.52,85.14,67.8,16,16,16,16,100,16,117,117,117,548,144491,,,,,,
55,63,29.01,81.8,0,0,29.03,80.95,3,5,29.06,77.76,0,0,28.89,80.3,0,0,28.97,81.9,494,496,460,495,507,496,464,495,57919,4.63,484,29.26,75.3,29.56,85.22,68.09,17,17,17,17,105,17,123,123,123,549,149610,,,,,,
55,63,29.11,81.8,0,0,29.12,80.95,3,5,29.15,77.66,0,0,28.96,80.16,0,0,29.04,81.8,495,494,465,494,448,496,470,495,57929,4.54,485,29.32,76.17,29.59,85.27,68.19,17,17,17,17,107,17,126,126,126,556,154736,,,,,,
55,63,29.41,81.72,0,0,29.33,80.91,3,5,29.42,77.62,0,0,29.06,80.26,0,0,29.09,81.9,488,496,466,495,493,495,457,495,57903,4.57,485,29.35,76.26,29.64,85.36,68.68,17,17,17,17,108,17,126,126,126,555,159858,,,,,,
55,63,29.46,81.72,0,0,29.49,80.87,3,5,29.48,77.68,0,0,29.4,80.18,0,0,29.44,81.62,484,495,422,494,428,496,469,495,57892,4.44,483,29.4,74.21,29.71,85.49,69.19,17,17,17,17,107,17,125,125,125,555,164987,,,,,,
55,63,29.5,80.93,0,0,29.58,80.18,4,7,29.49,77.09,0,0,29.44,79.49,0,0,29.48,81.72,493,494,449,496,495,497,480,497,57880,4.44,481,29.48,73.65,29.73,85.51,67.8,18,17,18,18,110,18,129,129,129,551,170106,,,,,,
55,63,29.54,80.34,0,0,29.6,79.49,4,7,29.58,76.5,0,0,29.52,78.9,0,0,29.53,80.93,489,495,454,495,466,496,468,497,57870,4.44,480,29.53,73.45,29.77,85.58,67.19,19,18,19,19,116,19,136,136,136,560,175236,,,,,,
55,63,29.59,80.04,0,0,29.64,79.16,4,7,29.62,76.2,0,0,29.55,78.61,0,0,29.65,80.01,491,495,452,495,497,496,440,497,57858,4.44,482,29.57,74.3,29.8,85.63,66.92,19,19,19,19,118,19,139,139,139,566,180366,,,,,,
55,63,29.62,79.85,0,0,29.68,78.96,4,7,29.65,75.91,0,0,29.58,78.31,0,0,29.68,79.71,489,495,458,495,481,495,453,496,57846,4.38,483,29.62,74.83,29.84,85.7,67.19,19,19,19,19,118,19,139,139,139,548,185485,,,,,,
55,63,29.65,79.81,0,0,29.72,78.96,5,9,29.71,75.91,0,0,29.62,78.31,0,0,29.71,79.71,485,495,439,495,494,495,449,496,57834,4.44,484,29.65,74.24,29.88,85.78,67.6,19,18,19,19,115,19,135,135,135,546,190615,,,,,,
55,63,29.73,79.91,0,0,29.78,79.06,5,9,29.78,75.87,0,0,29.67,78.37,0,0,29.79,79.81,488,495,466,494,477,496,471,495,57825,4.44,485,29.74,74.22,29.94,85.89,67.68,18,18,18,18,114,18,134,134,134,540,195734,,,,,,
55,63,29.76,79.71,0,0,29.81,78.96,5,9,29.82,75.68,0,0,29.71,78.17,0,0,29.82,79.62,491,495,461,495,473,496,479,496,57816,4.28,484,29.75,74.95,29.98,85.96,67.16,18,18,18,18,113,18,133,133,133,527,200863,,,,,,
